<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: principal_uncertainty_effects.csv>index,Metric,Dual_median,Dual_p2_5,Dual_p97_5,ROS_median,ROS_p2_5,ROS_p97_5,Difference_median,Difference_p2_5,Difference_p97_5,P_dual_gt_ros
0,Plaque_AUC,1.516915555113007,0.7326369947447506,2.958849812364809,1.0537500194152851,0.497472439956927,2.123915790326076,0.44069365605936,-0.0125329024077383,1.309715846133986,0.9696
1,OffTarget_AUC,3.5045474511323764,2.2780779832410363,5.804749023356225,2.9210310625858957,1.995863547799871,4.145587885211846,0.5312984229673008,-0.3481743014164333,2.574495891100181,0.829
2,SER,5.3968482064864265,3.7672088498454728,7.285335391101678,5.006516223792126,3.359780067215811,7.086314219149053,0.3679406929110911,-1.6630665558897255,2.458901311410527,0.6414
