<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: convergence_uncertainty.csv>index,N,Dual_Plaque_AUC_median,Dual_Plaque_AUC_p2_5,Dual_Plaque_AUC_p97_5,Dual_OffTarget_AUC_median,Dual_OffTarget_AUC_p2_5,Dual_OffTarget_AUC_p97_5,Dual_ESR_median,Dual_ESR_p2_5,Dual_ESR_p97_5,Dual_SER_median,Dual_SER_p2_5,Dual_SER_p97_5,ROS_Plaque_AUC_median,ROS_Plaque_AUC_p2_5,ROS_Plaque_AUC_p97_5,ROS_OffTarget_AUC_median,ROS_OffTarget_AUC_p2_5,ROS_OffTarget_AUC_p97_5,ROS_SER_median,ROS_SER_p2_5,ROS_SER_p97_5,Delta_Plaque_AUC_median,Delta_Plaque_AUC_p2_5,Delta_Plaque_AUC_p97_5,Delta_OffTarget_AUC_median,Delta_OffTarget_AUC_p2_5,Delta_OffTarget_AUC_p97_5,Delta_SER_median,Delta_SER_p2_5,Delta_SER_p97_5,P_DualPlaque_gt_ROS,P_DualOff_gt_ROS,P_DualSER_gt_ROS
0,500,1.4780325135413714,0.8086084956092914,3.065135965717731,3.471270356348793,2.3008329586023226,5.585970643180152,12.374443539922442,5.875785414183237,26.07166510663712,5.40088459790531,3.8569342353723246,7.281838426536328,1.040481893038688,0.521121394209567,2.16335845821675,2.91703686365061,1.9901858627839604,4.174218586520034,5.035460857277126,3.326254235003616,7.066527193193995,0.4435238880393671,-0.0075576457074985,1.3102458475008572,0.5301289875884536,-0.3088260994663248,2.4802029936908445,0.3833192840089197,-1.609705983611213,2.5481887806304018,0.97,0.828,0.642
1,1000,1.501081832294359,0.7648066515395331,3.0725264248145554,3.4988128079445326,2.31636215183747,5.740296575991763,12.249110273129077,5.994791337053421,27.339440988689365,5.414215526261327,3.80744085027034,7.270326400842157,1.0505411559110525,0.4966412735867779,2.196260126799832,2.938318402380662,2.0149919960353078,4.215070161804788,5.001871486894389,3.368719339523283,7.059772270034174,0.4414784365693855,-0.0099399601716916,1.3099876248546298,0.5302685583763959,-0.348415675296043,2.5517774948848304,0.3886494913799616,-1.616962013624644,2.4939837671583835,0.971,0.833,0.653
2,2500,1.5096052491426408,0.7423932773974982,3.034206628560764,3.497312839415857,2.309138593953699,5.826610462955873,12.249110273129077,5.713782383798899,26.21884853005733,5.408012439013165,3.749426859391988,7.295498101722925,1.0529166943604071,0.502143545059042,2.154789278396283,2.9252807419052096,2.003573323257873,4.153285868468815,5.005066642199459,3.3269953942401744,7.07904435462473,0.4413557871022535,-0.0113938751360975,1.3236216530986606,0.5316056231228381,-0.3622059798760187,2.59558494711589,0.347213401641955,-1.6598960467533743,2.469036364147563,0.9692,0.8336,0.6412
3,5000,1.516915555113007,0.7326369947447506,2.958849812364809,3.5045474511323764,2.2780779832410363,5.804749023356225,12.18653702945272,5.727453130943447,26.154188283654754,5.3968482064864265,3.7672088498454728,7.285335391101678,1.0537500194152851,0.497472439956927,2.123915790326076,2.9210310625858957,1.995863547799871,4.145587885211846,5.006516223792126,3.359780067215811,7.086314219149053,0.44069365605936,-0.0125329024077383,1.309715846133986,0.5312984229673008,-0.3481743014164333,2.574495891100181,0.3679406929110911,-1.6630665558897255,2.458901311410527,0.9696,0.829,0.6414
